Ticker,Precio Hoy,yhat,Dev%,Señal,Thr Compra,Thr Venta,SL Ref,Dist TP%,Dist SL%,R2
EBAY,109.31999969482422,117.59,-7.03,🟢 COMPRAR,114.06,123.47,100.57,12.9,-8,0.99
AMZN,233.66000366210938,251.13,-6.96,🟢 COMPRAR,243.6,263.69,214.97,12.9,-8,0.96
ORLY,86.11000061035156,89.8,-4.1,🟢 COMPRAR,87.1,94.29,79.22,9.5,-8,0.98
CSCO,112.76000213623047,117.55,-4.07,🟢 COMPRAR,114.02,123.42,103.74,9.5,-8,0.98
ADI,380.20001220703125,396.06,-4.01,🟢 COMPRAR,384.18,415.87,349.78,9.4,-8,0.98
MAR,364.4700012207031,379.17,-3.88,🟢 COMPRAR,367.79,398.13,335.31,9.2,-8,0.98
FAST,46.150001525878906,47.91,-3.68,🟢 COMPRAR,46.48,50.31,42.46,9,-8,0.98
GILD,130.86000061035156,134.28,-2.55,⚪ NEUTRAL,130.26,141,120.39,7.7,-8,0.98
AEP,134.9199981689453,138.4,-2.51,⚪ NEUTRAL,134.24,145.32,124.13,7.7,-8,0.99
MNST,93.55999755859375,95.1,-1.62,⚪ NEUTRAL,92.25,99.86,86.08,6.7,-8,0.97
EA,209,212.11,-1.47,⚪ NEUTRAL,205.75,222.72,192.28,6.6,-8,0.97
ROST,232.38999938964844,235.24,-1.21,⚪ NEUTRAL,228.18,247,213.8,6.3,-8,0.98
VRTX,473.0899963378906,477.76,-0.98,⚪ NEUTRAL,463.43,501.65,435.24,6,-8,0.9
COST,924.5899658203125,931.53,-0.75,⚪ NEUTRAL,903.59,978.11,850.62,5.8,-8,0.99
AMGN,371.5,373.67,-0.58,⚪ NEUTRAL,362.46,392.35,341.78,5.6,-8,0.93
AAPL,321.6600036621094,318.86,0.88,⚪ NEUTRAL,309.29,334.8,295.93,4.1,-8,0.98
BKNG,172.8300018310547,166.56,3.76,⚪ NEUTRAL,161.56,174.89,159,1.2,-8,0.96
PCAR,130.75,124.37,5.13,🔴 SOBRE COMPRADO,120.64,130.59,120.29,-0.1,-8,0.97
CTAS,203.25,183.67,10.66,🔴 SOBRE COMPRADO,178.16,192.85,186.99,-5.1,-8,0.98
